"p","lam1","lam2","kurt"
0.5245316588020317,4.522311939766919-2.965918970575042*^-14*I,0.19944037261403533+7.355227538141662*^-16*I,20
0.5623923802708264,10.742777544955787+2.7993404440291315*^-14*I,0.17878689864419578-2.949029909160572*^-16*I,20
0.5520569895258798,7.5901697569402575+1.4460958138147543*^-13*I,0.18454625675066297-2.1545265571631944*^-15*I,20
0.4864988908047463,3.1350520903581174+1.2428396314970536*^-14*I,0.2189938735142956-4.3368086899420177*^-16*I,20
0.5321395898815382,5.04527816622547+4.26309924641527*^-14*I,0.19538738551261436-9.506284648352903*^-16*I,20
0.4984444252701721,3.43684822077624+2.2784164626303718*^-14*I,0.2129774354264602-7.320533068622126*^-16*I,20
0.5663827509719004,12.937010198337953+9.122505005949329*^-14*I,0.17653844325573526-7.979727989493313*^-16*I,20
0.4347230673559259,2.396013128409234-2.1674900827077017*^-13*I,0.24380475830494752+9.357098429418897*^-15*I,20
0.5258284489739349,4.601777971025019-2.7174927657295052*^-14*I,0.1987529305039562+6.626643678231403*^-16*I,20
0.47087403070178424,2.8380761659626503-1.150458034020923*^-14*I,0.2266950603141234+4.371503159461554*^-16*I,20
0.4418256182167628,2.46421127601659-4.570223374350891*^-14*I,0.24051952139467886+1.9359513991901167*^-15*I,20
0.4706342638562049,2.8341723882977328+7.615387913377748*^-14*I,0.22681177051554374-2.896988204881268*^-15*I,20
0.5201714360312879,4.278838181264771-7.958848247222027*^-16*I,0.201741584835929+2.0816681711721685*^-17*I,20
0.47705915725320014,2.9450097867683525+1.0925501460694292*^-14*I,0.22366911029641212-4.0245584642661925*^-16*I,20
0.5368734841232536,5.455840375271041+2.788344653149383*^-14*I,0.1928410976294203-5.759281940243*^-16*I,20
0.448833112472504,2.539012349160809-9.923348685417078*^-14*I,0.23724211524594074+4.1147640850169864*^-15*I,20
0.5348229998079983,5.268316829328587+8.521248643311774*^-14*I,0.19394632928194777-1.8214596497756474*^-15*I,20
0.5248147476846636,4.5393618921488255+4.914391305839936*^-15*I,0.1992904230039787-1.214306433183765*^-16*I,20
0.5035523213309685,3.5936253707700105-2.7563500352518467*^-14*I,0.2103702183879077+8.500145032286355*^-16*I,20
0.5316853307273828,5.009783374819039+3.6930126904454527*^-14*I,0.1956307372370324-8.291978215169138*^-16*I,20
0.569859875354674,15.842113620383671+2.2347407170179695*^-14*I,0.17456781554780687-1.5959455978986625*^-16*I,20
0.5091797564370641,3.791368122401034-3.2640676743748605*^-14*I,0.2074735553127463+9.575673587391975*^-16*I,20
0.5068961733709958,3.7076182538461806+7.111192350548259*^-14*I,0.2086520843701144-2.130240428499519*^-15*I,20
0.5677900489815839,13.96483647950066+5.694731739421607*^-14*I,0.17574214902391405-4.614364446098307*^-16*I,20
0.5729970870935339,20.00527843648874-1.3562780183916437*^-13*I,0.17278069947032512+7.667477763817487*^-16*I,20
0.5739812969512992,21.836013394838822-7.771490913334122*^-14*I,0.17221825233500299+4.0245584642661925*^-16*I,20
