"q","mu1","mu2","kurt"
0.46159747796671735,6.746355608697083-3.5060814036472193*^-16*I,0.5779466446760265+1.3877787807814457*^-17*I,20
0.5298365596634,12.178658007652691-1.3712935983330928*^-13*I,0.49154841741945154+3.164135620181696*^-15*I,20
0.4831838399780015,7.6604295159757445-1.9140363836525968*^-13*I,0.5516090636002056+6.813993813636898*^-15*I,20
0.5313424913737621,12.458499705159381-9.162048838184059*^-14*I,0.4895357148719497+2.067790383364354*^-15*I,20
0.538496276464477,14.040510392334188-1.3065392131078552*^-13*I,0.47990972093455686+2.6229018956769323*^-15*I,20
0.523337882585013,11.130414259033728-5.898184854439285*^-14*I,0.5001799402705167+1.4849232954361469*^-15*I,20
0.4674019662582438,6.957902672620585-8.158605072196411*^-14*I,0.5709521422240237+3.1502578323738817*^-15*I,20
0.42958549134254587,5.877210471413453+5.208462552089318*^-14*I,0.6153959084173697-2.275957200481571*^-15*I,20
0.4970793082406093,8.495253945849194+2.1801750706591463*^-14*I,0.5341767571601312-7.077671781985373*^-16*I,20
0.43494136997765787,5.995013389583586-2.2321938674752609*^-13*I,0.6092608226904963+9.631184738623233*^-15*I,20
0.4885542808606649,7.953797629716663-3.827678407837049*^-14*I,0.5449166970883145+1.3183898417423734*^-15*I,20
0.5825627593762666,321.77149437266155-3.0857799034819244*^-12*I,0.4181943756518371+2.706168622523819*^-15*I,20
0.5585883914110457,23.21702191288168+1.560347102748166*^-13*I,0.4522935347449867-1.9012569296705806*^-15*I,20
0.5267799588011732,11.655946995187607+1.394797961089185*^-13*I,0.49561909703037443-3.3584246494910985*^-15*I,20
0.5406027639491571,14.605514308307445-1.8613577080071398*^-13*I,0.4770547531120987+3.594347042223944*^-15*I,20
0.4334244716574167,5.960727481897133+1.4387921214880086*^-13*I,0.6110036515287042-6.231126725708691*^-15*I,20
0.45602061962000606,6.561860758612971+3.894384811839966*^-14*I,0.5846070103956146-1.5751289161869408*^-15*I,20
0.4696829841618282,7.047125957278286-1.2493412740784467*^-13*I,0.5681859687988651+4.773959005888173*^-15*I,20
0.5455929948129743,16.190390655404364-4.535328408900632*^-14*I,0.4702538882341904+7.91033905045424*^-16*I,20
0.4568170076601945,6.587174103646247-2.159439504062191*^-13*I,0.5836594646378079+8.708311849403572*^-15*I,20
0.43097976460802845,5.907016874000855-9.186746926098212*^-13*I,0.613803753510449+4.0016601143832986*^-14*I,20
0.459707780607155,6.681906620594869-7.655340589730563*^-14*I,0.5802100271395614+3.0531133177191805*^-15*I,20
0.469138924461564,7.025512492135351-5.071699835521918*^-15*I,0.5688466465932148+1.942890293094024*^-16*I,20
0.5469712912603126,16.703084227691875+8.944871899248094*^-14*I,0.46836616638016615-1.5126788710517758*^-15*I,20
0.4802474230637317,7.513113157109487-1.149975973147181*^-14*I,0.5552444866560822+4.163336342344337*^-16*I,20
0.5464989588090559,16.523163154724173-3.4910376390556516*^-14*I,0.46901353139481344+5.967448757360216*^-16*I,20
0.5768328334515633,74.71560879065183+3.5594834267586777*^-13*I,0.4264595963539253-1.3461454173580023*^-15*I,20
0.5535600151251383,19.791401861314466-1.0587465800265816*^-13*I,0.459286089274503+1.5126788710517758*^-15*I,20
0.4172804474676095,5.63775085433587+4.135767410472447*^-11*I,0.629297247012446-1.851421793652719*^-12*I,20
0.5571138245055167,22.080753875314166-1.0074736455805301*^-13*I,0.45434975741965766+1.2906342661267445*^-15*I,20
0.48180008488050863,7.589930811789778-1.5081586686918766*^-14*I,0.5533243061417914+5.412337245047638*^-16*I,20
0.5259585674754585,11.524869330669555+9.121375662386807*^-14*I,0.4967096910587401-2.220446049250313*^-15*I,20
0.4750072018709022,7.270378841922026-5.069337554091248*^-14*I,0.5616906232446395+1.887379141862766*^-15*I,20
0.43140207262925667,5.916161740554192-6.650842628615194*^-13*I,0.6133208212095553+2.894212647319705*^-14*I,20
0.44206520104780234,6.166598117371192+2.599763737470508*^-13*I,0.6010201585222832-1.1005085731596864*^-14*I,20
0.5683540913671166,36.069785299517946+8.847814072836779*^-15*I,0.4385562699857748-6.938893903907228*^-17*I,20
0.46019546698568936,6.6983433545954085+1.0842727230233298*^-13*I,0.5796265448721779-4.315992008230296*^-15*I,20
0.5678145832138128,34.96079342243824-5.522600088441332*^-13*I,0.43932062840744157+4.468647674116255*^-15*I,20
0.5060900067036294,9.198083219026538-1.8720475495560792*^-13*I,0.5226678288942868+5.648259637780484*^-15*I,20
0.5389565494022002,14.15946578560903-5.0187713510858623*^-14*I,0.47928670295711717+9.992007221626409*^-16*I,20
0.4515172002985688,6.424710735528329-1.6951698432207126*^-13*I,0.5899429360041212+6.966649479522857*^-15*I,20
0.5561473211584675,21.400746073292492+2.0160509845436116*^-13*I,0.4556949542080221-2.6645352591003757*^-15*I,20
0.4632879477635825,6.805788724682847+8.967718201540537*^-14*I,0.5759161822738119-3.524958103184872*^-15*I,20
0.45232718430061913,6.448652536264208-3.006970203888324*^-13*I,0.588986001375981+1.2323475573339238*^-14*I,20
0.5446634039062861,15.864803246998905+1.3803041488996347*^-13*I,0.47152477602494797-2.456368441983159*^-15*I,20
0.5673294525046895,34.02400678916356+3.638609828103617*^-13*I,0.4400074011330871-3.0253577421035516*^-15*I,20
0.5010177497859125,8.783486214956488+6.390690972548293*^-14*I,0.5291663632278168-2.0122792321330962*^-15*I,20
0.4389919103533959,6.090358368144871-1.719495031119806*^-13*I,0.6045865789972611+7.341349750333848*^-15*I,20
0.42072786907204374,5.700820965185151+8.57161833369986*^-12*I,0.6254296370224297-3.81382425640453*^-13*I,20
0.487372672684534,7.886400423574068+1.775513934412342*^-13*I,0.5463940003185335-6.161737786669619*^-15*I,20
0.5817450008702341,217.16320814470845+2.4558471915948626*^-13*I,0.41937844594419454-3.191891195797325*^-16*I,20
0.5192095664093721,10.573873330756008-2.9175254753743323*^-13*I,0.5056178170227239+7.716050021144838*^-15*I,20
0.5710053208595287,42.83350178205947+1.2611331805674192*^-13*I,0.4347907930693955-8.326672684688674*^-16*I,20
0.4795540948144392,7.479564910948997-1.1073740846683402*^-14*I,0.5561004165165797+4.0245584642661925*^-16*I,20
0.4456594668344296,6.260348994150393+1.111678737585198*^-13*I,0.5968272567119878-4.65599780952175*^-15*I,20
0.5192920763020648,10.584299362885346+8.08854093075211*^-14*I,0.5055094771081067-2.1371793224034263*^-15*I,20
0.42548924494563356,5.792945729130347+1.092549465308362*^-12*I,0.6200533967324509-4.816286258702007*^-14*I,20
0.505411184080363,9.139468099066088+3.292085848605513*^-14*I,0.5235405267490028-9.992007221626409*^-16*I,20
0.44294279613971943,6.189020060015721-2.277692407604964*^-13*I,0.5999985818049487+9.617306950815419*^-15*I,20
0.5476431322456421,16.967016210158416-2.542135182202766*^-13*I,0.4674445407595485+4.232725281383409*^-15*I,20
0.44497835476229075,6.242187549218008-6.839775371723675*^-13*I,0.597623630136099+2.8706204080464204*^-14*I,20
0.46107531386416856,6.728340795203788+1.3994741574799136*^-13*I,0.578572738312519-5.551115123125783*^-15*I,20
0.4549230313720789,6.5275090978493875+1.076496486460743*^-14*I,0.585910983030473-4.371503159461554*^-16*I,20
0.5575996277083679,22.441199797467508-1.6734437012475837*^-13*I,0.45367284487266213+2.1094237467877974*^-15*I,20
0.5588303164299191,23.416045268929444+3.2852458120455416*^-13*I,0.45195573053080096-3.969047313034935*^-15*I,20
0.5765770972099515,72.29941343071022+1.1965961358925134*^-12*I,0.4268267830695171-4.676814491233472*^-15*I,20
0.5630765544329355,27.65050885001261-7.459419116925137*^-14*I,0.4460059361330401+7.632783294297951*^-16*I,20
0.5146784440930405,10.039548293734349-5.643612728861116*^-14*I,0.5115460132719442+1.5681900222830336*^-15*I,20
0.5441707603335955,15.698391386698933-5.4021878710944756*^-14*I,0.47219754721894874+9.71445146547012*^-16*I,20
0.4240625761137877,5.764706884776025+4.423695350712861*^-12*I,0.6216685180277871-1.9557272468162523*^-13*I,20
0.5074756091023322,9.320980773418945+1.201488437507772*^-13*I,0.5208836090076867-3.58046925441613*^-15*I,20
0.5227281290977068,11.04348226957939+2.680715647648643*^-14*I,0.5009853261181886-6.800116025829084*^-16*I,20
0.5154871335606439,10.129710469954025-2.276691721914579*^-13*I,0.5104910593682209+6.2727600891321345*^-15*I,20
0.504482015508928,9.060871706019132-7.257292077966954*^-15*I,0.5247335672986496+2.220446049250313*^-16*I,20
0.47407356856340943,7.229621359031264-1.2465144361512743*^-13*I,0.5628335525000701+4.6629367034256575*^-15*I,20
0.5255371864273284,11.459055943967588+9.581227447455121*^-14*I,0.49726863278228484-2.345346139520643*^-15*I,20
0.5044152045692945,9.055291633474258+2.0082147059431162*^-13*I,0.5248192847894525-6.147859998861804*^-15*I,20
0.4197171928148338,5.682025262886067+1.206158988084371*^-11*I,0.6265656677920938-5.376532552503477*^-13*I,20
0.46990937475272965,7.056182268916725+3.9628595316919016*^-14*I,0.567910885396679-1.5126788710517758*^-15*I,20
0.48570739682700337,7.794214970635107-1.8442907885414833*^-13*I,0.5484713625122788+6.467049118441537*^-15*I,20
0.5649195231919804,30.0678441051407+2.0648104460473944*^-14*I,0.44341136125391684-1.942890293094024*^-16*I,20
0.49714842915762203,8.500084603995846+8.939066500490411*^-14*I,0.5340890895582855-2.9004576518332215*^-15*I,20
0.4380537761330201,6.067769755093112+4.863457584125406*^-14*I,0.6056718161115159-2.0816681711721685*^-15*I,20
0.5803162816238743,138.97242355670838+1.0314219138803475*^-12*I,0.42144356797810945-2.095545958979983*^-15*I,20
0.4406052508798002,6.129945420009449-9.794672232381336*^-15*I,0.6027165151686109+4.163336342344337*^-16*I,20
0.4693866982568804,7.035329369355349-3.1226769219926816*^-13*I,0.5685458330234435+1.1948775302528247*^-14*I,20
0.5318427128022882,12.555027291948493+1.4621360413229424*^-13*I,0.4888661135492003-3.2751579226442118*^-15*I,20
0.5563305435939458,21.526036285068066+2.6826388741911667*^-13*I,0.4554400970102418-3.524958103184872*^-15*I,20
0.45283962866480776,6.463960097227616+3.103913978908775*^-14*I,0.5883799577120411-1.2698175844150228*^-15*I,20
0.575695522528342,65.07867183866709+3.4512479784743875*^-13*I,0.4280914374201745-1.4988010832439613*^-15*I,20
0.5054788995339863,9.145269333588322-3.9345347198452036*^-14*I,0.5234535130711564+1.1934897514720433*^-15*I,20
0.4357113135202544,6.012705895610121-1.8610839720487185*^-13*I,0.6083746114652412+8.014422459012849*^-15*I,20
0.503585061506693,8.986737875225437+2.0526399724700293*^-13*I,0.5258835986510884-6.328271240363392*^-15*I,20
0.4450565749618616,6.244263642570236-8.202397880711347*^-14*I,0.5975322164307827+3.4416913763379853*^-15*I,20
0.43561742460753816,6.01053783122425-2.1055049461785956*^-13*I,0.6084827357631686+9.069134332406747*^-15*I,20
0.47576556605939246,7.304016541456274-1.2835098240151956*^-13*I,0.5607610193151252+4.760081218080359*^-15*I,20
0.5835479944295692,774.9881331833142+4.422386313093632*^-12*I,0.4167658205158435-1.609823385706477*^-15*I,20
0.4957411440643693,8.403243027281324-1.2909971297697303*^-13*I,0.5358721095064811+4.232725281383409*^-15*I,20
0.47155667692691994,7.123211643268918-8.317744909368466*^-14*I,0.5659063271876235+3.1502578323738817*^-15*I,20
0.43072162242188683,5.901453887280407-3.585274448192498*^-13*I,0.6140987954908929+1.5626389071599078*^-14*I,20
0.4957695099975059,8.405164124321606+8.043944036291249*^-15*I,0.535836208915752-2.636779683484747*^-16*I,20
0.4420742799512116,6.1668285647170835+5.0816376212877885*^-15*I,0.6010095973102476-2.1510571102112408*^-16*I,20
0.5048228132202863,9.08948303913732+1.2646498157245488*^-13*I,0.5242961890342264-3.858025010572419*^-15*I,20
0.5726012683258133,48.390760323400976+3.966320674508419*^-13*I,0.43251664212230395-2.3175905639050143*^-15*I,20
0.5587695491239175,23.365698334760996-4.69950752750267*^-14*I,0.4520405929348021+5.689893001203927*^-16*I,20
0.5817459735788129,217.24692832846503-3.3967855654658823*^-12*I,0.4193770384028887+4.413136522884997*^-15*I,20
0.5468798858914823,16.66791047064371+1.6050782498171786*^-13*I,0.4684914810317418-2.7200464103316335*^-15*I,20
0.5025129620686049,8.900288431180087-1.5168606794570038*^-13*I,0.527256074498418+4.718447854656915*^-15*I,20
0.5679548441597264,35.24203933881736-1.832640712305688*^-13*I,0.43912197250987955+1.4710455076283324*^-15*I,20
0.45836295605808886,6.6372700159498965-1.8519349561148714*^-14*I,0.5818166993672735+7.424616477180734*^-16*I,20
0.43326119150969844,5.95708135700167+6.510445757220585*^-13*I,0.6111910035446718-2.8206603719382883*^-14*I,20
0.4745378624744587,7.249800703109013+8.441145815820831*^-14*I,0.562265385667769-3.1502578323738817*^-15*I,20
0.4442368884838306,6.2226303235494695+2.260005051050203*^-14*I,0.5984896025674367-9.506284648352903*^-16*I,20
0.4278978837324512,5.84190854312057+1.5475707057792353*^-12*I,0.6173183709504054-6.787626016802051*^-14*I,20
0.5152406121312447,10.101999674041643+3.0143018750022535*^-15*I,0.5108127936265247-8.326672684688674*^-17*I,20
0.45400969533705693,6.499387060355316-1.5072734017252022*^-13*I,0.5869943440983207+6.140921104957897*^-15*I,20
0.440479803361137,6.126833139581966-2.725231763546083*^-13*I,0.6028620946215365+1.1587952819525071*^-14*I,20
0.4655200230022376,6.886961039604487-1.0015837086879664*^-13*I,0.5732269078724475+3.899658373995862*^-15*I,20
0.4532609108372021,6.476638898877399+8.340274951472443*^-14*I,0.5878813614950771-3.406996906818449*^-15*I,20
0.48491592311818854,7.751507374397426+1.323396340822346*^-13*I,0.549456791007727-4.6629367034256575*^-15*I,20
0.4413661261334165,6.148947615315828-2.2019705303146452*^-13*I,0.6018329187339124+9.33975119465913*^-15*I,20
0.4493002815871998,6.360731121711121+1.387698590797109*^-13*I,0.5925558350188679-5.745404152435185*^-15*I,20
0.5678897765291107,35.110968112568216-1.894715716656886*^-14*I,0.4392141351679202+1.5265566588595902*^-16*I,20
0.427131326511871,5.826147280903637-2.255155222955381*^-12*I,0.618189924340067+9.907352715998741*^-14*I,20
0.46690413730725955,6.938907063052804-2.391937691768934*^-13*I,0.571554538736041+9.256484467812243*^-15*I,20
0.5189276023278035,10.538444226560141+8.002705655169996*^-14*I,0.5059879455207187-2.123301534595612*^-15*I,20
0.45664183704783623,6.581577875615856+2.1391127100668275*^-13*I,0.5838679851189766-8.631984016460592*^-15*I,20
0.5719957122330794,46.11160366059327-9.187808582156022*^-13*I,0.4333801930162008+5.6343818499726694*^-15*I,20
0.5779960744572918,88.20264853438456-7.062748510652593*^-13*I,0.42478757837923065+2.2620794126737565*^-15*I,20
0.5017477349343902,8.839975066286621-4.9211421321460266*^-14*I,0.5282342906794313+1.5404344466674047*^-15*I,20
0.47968107738333554,7.485675124800857-1.5093781146556345*^-13*I,0.5559437232793959+5.4817261840867104*^-15*I,20
0.5044340555971434,9.056865120559415+7.61703057611512*^-14*I,0.5247951000958064-2.3314683517128287*^-15*I,20
0.5483932919129733,17.273424196299427-3.4106430405950293*^-13*I,0.4664143392784753+5.578870698741412*^-15*I,20
0.5346648831548948,13.13625690497669+5.11580983361851*^-14*I,0.4850785227135833-1.096345236817342*^-15*I,20
0.48458611935817597,7.733915867130042-1.0377455406681905*^-13*I,0.5498670536900341+3.6637359812630166*^-15*I,20
0.43849302209125507,6.0783071466232705+3.2298733687254604*^-14*I,0.6051638939403416-1.3808398868775384*^-15*I,20
0.4454927384135885,6.255885766176931-1.2965733010560756*^-13*I,0.5970222786005477+5.43315392675936*^-15*I,20
0.5718118427727734,45.46352092319875+1.0932643246807828*^-13*I,0.433642239155788-6.800116025829084*^-16*I,20
0.5542402938659867,20.18762382815855+2.1795277123686575*^-14*I,0.4583432727968752-3.0531133177191805*^-16*I,20
0.5686831004462416,36.78384344341692+3.537090690974581*^-13*I,0.43808982639958505-2.7200464103316335*^-15*I,20
0.4745073105504083,7.248467438020445+1.7474558062168572*^-14*I,0.5623027854779536-6.522560269672795*^-16*I,20
0.44990266928611256,6.377895332768748+2.972343358650802*^-14*I,0.5918467510497074-1.2281842209915794*^-15*I,20
0.4589542882397788,6.656773857712509+3.9378519244395886*^-14*I,0.5811106485920733-1.5751289161869408*^-15*I,20
0.44610566643404415,6.272349808784087+5.260766881217278*^-13*I,0.5963050864922986-2.200323256928982*^-14*I,20
0.4655111728435113,6.886632932809925-5.738390622420465*^-14*I,0.5732375894603949+2.2343238370581275*^-15*I,20
0.5096613189177179,9.524227063115676+1.71071437563718*^-14*I,0.5180612210257629-4.996003610813204*^-16*I,20
0.5307647473193162,12.349268660879853-1.3229344262491277*^-13*I,0.490308438605375+3.011479954295737*^-15*I,20
0.48983710290817695,8.028915918585394-1.2473197152733798*^-13*I,0.5433097472087132+4.260480856999038*^-15*I,20
0.4775536181058997,7.385273722246762-2.795216287263335*^-14*I,0.5585648343181133+1.0269562977782698*^-15*I,20
0.5711827757298849,43.38429355548817+9.303546486916915*^-13*I,0.4345382057166519-6.0645932720149176*^-15*I,20
0.5035308487811108,8.982310590081896+1.3093110195524573*^-13*I,0.5259530558295107-4.038436252074007*^-15*I,20
0.4694518587091765,7.037918324808095-1.160928037110675*^-13*I,0.5684667045276544+4.440892098500626*^-15*I,20
0.4813932717268363,7.569574081025633-4.784039627141492*^-14*I,0.5538278655973445+1.7208456881689926*^-15*I,20
0.44061906796726324,6.130288569733427+2.721391262002187*^-13*I,0.602700478947466-1.156713613781335*^-14*I,20
0.5416283588601138,14.900870703302626+5.2043025512572524*^-14*I,0.47566134722487324-9.853229343548264*^-16*I,20
0.45246359725227747,6.452715179017767+6.860347589932783*^-14*I,0.5888247199187475-2.8102520310824275*^-15*I,20
0.4315173117270472,5.9186667374969435-1.7895583595534428*^-13*I,0.6131889833584807+7.78543896018391*^-15*I,20
0.5270092109794022,11.693205976514129+2.0582068049598276*^-13*I,0.49531445998542745-4.9404924595819466*^-15*I,20
0.5476135005332068,16.955170996609848-7.496188563207812*^-15*I,0.4674852095963258+1.249000902703301*^-16*I,20
0.34231714197290075,1.0309174164502435+0.8506000353582293*I,0.7871226073211344-0.1598916808591608*I,30
0.24614908930209412,0.8628355481293489+0.8991891147474379*I,0.8501059580987609-0.14034926440079282*I,30
0.30959197084571377,0.977677374373425+0.8689937813737805*I,0.809260430301711-0.1545940039298858*I,30
0.5794741785343975,1.434008136628809+0.6642417395501612*I,0.5982858209461147-0.13817544657988445*I,30
0.43234535576181976,1.1681488247901313+0.7936657936781113*I,0.7218261737888048-0.16629531459663688*I,30
