lam_CV,mu_CV,lam_CVsq,mu_CVsq,lam_kurt,mu_kurt,Response time
3.038205286,2.381603935,9.230691359,5.672037305,40,30,[1.67429005]
3.038205286,2.566340733,9.230691359,6.586104759,40,30,[1.77542271]
3.038205286,2.600111275,9.230691359,6.760578643,40,30,[1.79444404]
3.038205286,2.958871202,9.230691359,8.754918788,40,30,[2.00246286]
3.038205286,2.952852716,9.230691359,8.71933916,40,30,[1.99890314]
3.038205286,2.982157439,9.230691359,8.893262989,40,30,[2.01625495]
3.038205286,3.559286439,9.230691359,12.66851995,40,30,[2.36728112]
3.038205286,3.557137532,9.230691359,12.65322742,40,30,[2.36594111]
3.038205286,3.067259503,9.230691359,9.408080859,40,30,[2.06691229]
3.038205286,3.567349398,9.230691359,12.72598173,40,30,[2.37231126]
3.038205286,2.424984405,9.230691359,5.880549366,40,30,[1.69748994]
3.038205286,2.869370476,9.230691359,8.233286927,40,30,[1.94974236]
3.038205286,2.769902601,9.230691359,7.672360421,40,30,[1.89173259]
3.038205286,3.32009942,9.230691359,11.02306016,40,30,[2.21966828]
3.038205286,2.834276131,9.230691359,8.033121187,40,30,[1.92920139]
3.038205286,2.42421409,9.230691359,5.876813955,40,30,[1.69707446]
3.038205286,2.630639716,9.230691359,6.920265318,40,30,[1.81174507]
3.038205286,2.546804539,9.230691359,6.486213362,40,30,[1.7644801]
3.038205286,3.909078589,9.230691359,15.28089542,40,30,[2.58890964]
3.038205286,2.291884703,9.230691359,5.252735493,40,30,[1.6278686]
3.038205286,3.822593046,9.230691359,14.6122176,40,30,[2.53344988]
3.038205286,2.973434711,9.230691359,8.84131398,40,30,[2.01108507]
3.038205286,3.504365124,9.230691359,12.28057492,40,30,[2.33311333]
3.038205286,2.575167153,9.230691359,6.631485868,40,30,[1.78038166]
3.038205286,3.818183473,9.230691359,14.57852503,40,30,[2.53063409]
3.038205286,3.945969799,9.230691359,15.57067766,40,30,[2.61270325]
3.038205286,3.008421268,9.230691359,9.050598524,40,30,[2.03184661]
3.038205286,4.116975078,9.230691359,16.9494838,40,30,[2.72408121]
3.038205286,2.56728929,9.230691359,6.590974301,40,30,[1.7759552]
3.038205286,2.751719948,9.230691359,7.57196267,40,30,[1.88120148]
3.038205286,3.246279031,9.230691359,10.53832755,40,30,[2.17472421]
3.038205286,2.69679169,9.230691359,7.272685418,40,30,[1.84953989]
3.038205286,3.410264822,9.230691359,11.62990616,40,30,[2.27495293]
3.038205286,2.827755952,9.230691359,7.996203726,40,30,[1.92539374]
3.038205286,2.304033928,9.230691359,5.308572339,40,30,[1.63400701]
3.038205286,3.22348868,9.230691359,10.39087927,40,30,[2.16090622]
3.038205286,2.369350583,9.230691359,5.613822186,40,30,[1.66781576]
3.038205286,2.528088657,9.230691359,6.391232259,40,30,[1.7540422]
3.038205286,2.821655035,9.230691359,7.961737135,40,30,[1.92183343]
3.038205286,3.300013596,9.230691359,10.89008973,40,30,[2.20741119]
3.038205286,3.308627352,9.230691359,10.94701496,40,30,[2.21266502]
3.038205286,2.669260485,9.230691359,7.124951535,40,30,[1.83376259]
3.038205286,2.509910619,9.230691359,6.299651313,40,30,[1.74394994]
3.038205286,2.577158482,9.230691359,6.64174584,40,30,[1.78150171]
3.038205286,2.632818199,9.230691359,6.931731667,40,30,[1.81298325]
3.038205286,2.664718134,9.230691359,7.100722731,40,30,[1.83116589]
3.038205286,3.827549164,9.230691359,14.6501326,40,30,[2.53661604]
3.038205286,3.565613268,9.230691359,12.71359798,40,30,[2.37122786]
3.038205286,2.378504983,9.230691359,5.657285952,40,30,[1.67264915]
3.038205286,2.341338361,9.230691359,5.481865319,40,30,[1.65316215]
3.038205286,2.149679755,9.230691359,4.621123048,40,30,[1.56116076]
3.038205286,3.988121182,9.230691359,15.90511056,40,30,[2.63999013]
3.038205286,3.004847603,9.230691359,9.029109114,40,30,[2.02972286]
3.038205286,2.238141657,9.230691359,5.009278076,40,30,[1.60141441]
3.038205286,2.540153155,9.230691359,6.452378049,40,30,[1.76076544]
3.038205286,2.550857535,9.230691359,6.506874166,40,30,[1.76674637]
3.038205286,2.877098162,9.230691359,8.277693832,40,30,[1.95427565]
3.038205286,4.075271415,9.230691359,16.60783711,40,30,[2.69675253]
3.038205286,2.264765253,9.230691359,5.129161653,40,30,[1.61436722]
3.038205286,4.018664992,9.230691359,16.14966832,40,30,[2.6598306]
3.038205286,2.993161423,9.230691359,8.959015305,40,30,[2.02278291]
3.038205286,2.898946502,9.230691359,8.403890823,40,30,[1.96711205]
3.038205286,2.591291001,9.230691359,6.714789052,40,30,[1.78946367]
3.038205286,2.919463647,9.230691359,8.523267984,40,30,[1.97919216]
3.038205286,2.263420737,9.230691359,5.123073434,40,30,[1.61370557]
